x,y
37.26036,-2.65932
37.26036,-2.65932
37.26036,-2.65932
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
34.94099,-1.402704
36.839087,-1.362106
36.839087,-1.362106
36.839087,-1.362106
36.839087,-1.362106
36.839087,-1.362106
 37.096935,0.612197
 37.096935,0.612197
 37.096935,0.612197
 37.096935,0.612197
 37.096935,0.612197
 37.096935,0.612197
 37.096935,0.612197
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
38.442052,-2.94878
36.325289,3.984526
36.325289,3.984526
36.325289,3.984526
34.94099,-1.402704
34.94099,-1.402704
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
34.569734,-3.221422
34.569734,-3.221422
38.032319,-3.972096
38.032319,-3.972096
38.032319,-3.972096
38.032319,-3.972096
38.540688,-4.298822
38.540688,-4.298822
38.540688,-4.298822
38.540688,-4.298822
38.540688,-4.298822
38.540688,-4.298822
34.569734,-3.221422
 31.198936, -2.234703
 33.974134,-7.211018
 33.974134,-7.211018
 33.974134,-7.211018
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
 33.974134,-7.211018
34.569734,-3.221422
34.569734,-3.221422
34.569734,-3.221422
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
36.446486,-3.299433
34.569734,-3.221422
34.569734,-3.221422
34.569734,-3.221422
34.569734,-3.221422
34.569734,-3.221422
38.825623,-3.356173
38.825623,-3.356173
38.825623,-3.356173
38.825623,-3.356173
38.825623,-3.356173
38.825623,-3.356173
38.825623,-3.356173
38.825623,-3.356173
34.569734,-3.221422
31.903577,-5.810248
38.540688,-4.298822
38.540688,-4.298822
34.569734,-3.221422
34.569734,-3.221422
